District Name,PDF Path,Pred Outdoor Score,Pred Climate Score,Pred Energy Score,Pred Total Score,Outdoor Confidence,Climate Confidence,Energy Confidence,Outdoor Reasoning,Climate Reasoning,Energy Reasoning,Num Pages,Num Chunks,error
Marysville Joint Unified,data/pdfs/MarysvilleJointUnified.pdf,3.0,1.0,2.0,6.0,medium,low,high,"The plan goes beyond a passing mention by naming outdoor learning spaces, shade structures, and community gardens, and by proposing outdoor learning courtyards and amphitheaters at several sites. However, the discussion is site-specific rather than districtwide and does not provide canopy, surface-type, or other quantitative analysis of greening or shade. It also does not clearly frame these elements as a districtwide climate or heat-mitigation strategy.","The plan discusses facility assessment issues like roofs, drainage, HVAC, and site conditions, which can relate to climate exposure, but it does not explicitly frame them as climate change risks. The references are general condition and maintenance observations rather than a climate risk assessment or resilience strategy. This fits minimal acknowledgment rather than developed climate planning.","The plan has limited but clear references to energy efficiency, mainly noting that HVAC is a major energy user and identifying outdated, inefficient HVAC and lighting systems. It also mentions electrical capacity, lighting, and backup-related technology infrastructure, but it does not present a real energy strategy, resilience plan, or decarbonization framework. There is no evidence of Title 24, Zero Net Energy, or district energy targets, so this fits limited description rather than sufficient detail.",750.0,375.0,
Marysville Joint Unified,data/pdfs/MarysvilleJointUnified.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
Menlo Park,data/pdfs/MenloPark.pdf,3.0,3.0,4.0,10.0,medium,high,high,"The plan includes concrete outdoor-space improvements such as shade structures, landscaping, and asphalt repair, and it links shade to outdoor student activities and learning. It also mentions solar structures at playgrounds and field areas, showing more than a passing reference to greening, though the discussion is not districtwide or centered on green-space metrics. The next higher score would need broader districtwide analysis of outdoor surfaces/canopy or stormwater, plus more fully developed campus-greening strategies.","The plan explicitly treats climate resilience as a guiding principle and ties it to project planning and campus upgrades. It addresses climate impacts in some detail, especially overheating and wildfire-related air quality, and pairs them with mitigation strategies such as HVAC, shade, solar, and backup power. However, it does not present a comprehensive districtwide climate risk assessment across multiple hazards in the level of detail needed for a 4.","The plan treats energy efficiency and resilience as a core facilities priority, with repeated campus-level projects for all-electric HVAC, solar expansion, battery/storage study, and backup power. It also connects these upgrades to climate-related disruptions like wildfire smoke, overheating, and outages, and provides concrete districtwide targets such as reducing the fact that 94% of classrooms lack air conditioning. The plan references state-aligned concepts through all-electric systems and sustainability recommendations, but it does not explicitly name Title 24 or Zero Net Energy in the provided text, which would not be needed for a top score because the rubric allows significant detail with strong strategy integration.",40.0,20.0,
Moraga Elementary,data/pdfs/MoragaElementary.pdf,3.0,2.0,2.0,7.0,high,high,medium,"The plan includes multiple concrete outdoor-greening and outdoor-learning projects, such as shaded outdoor classrooms, native vegetation, wellness gardens, and shaded learning courtyards. It also shows some related site work like low-water planting, reseeding grass areas, drainage fixes, and a PV shade structure, which goes beyond passing mention but is not clearly districtwide or deeply quantified. The next higher score would require districtwide analysis of outdoor space conditions and a more holistic, central greening strategy across campuses.","The plan addresses climate-related risks in some detail, especially stormwater drainage, erosion, and low-water landscaping, and ties them to vulnerable site areas like hillsides, modular buildings, and play areas. It also includes mitigation measures such as connecting roof leaders to storm drains, regrading, retaining walls, and low-maintenance ground cover. However, climate readiness is not presented as a districtwide planning priority or central theme across the introduction and long-range planning sections.","The plan includes some concrete energy-related projects, especially Building L energy efficiency upgrades with insulation and LED lighting, plus a new photovoltaic shade structure. However, the section does not discuss energy resilience, electrification, decarbonization, energy use data, or state energy requirements in a developed way. The evidence is stronger than a passing mention but falls short of a comprehensive energy strategy.",85.0,43.0,
Moraga Elementary,data/pdfs/MoragaElementary.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
Mother Lode Union Elementary,data/pdfs/MotherLodeUnionElementary.pdf,2.0,0.0,2.0,4.0,medium,high,medium,"The plan mentions some outdoor-space concerns, including covered outdoor gathering areas, more trees, shade structures, fields, and an outdoor eating area. However, these references are brief and site-specific, with no districtwide greening analysis, surface data, or sustained outdoor learning strategy. The evidence fits a limited description rather than a developed campus-greening plan.","The provided text discusses site drainage, HVAC, roofs, ADA issues, traffic, and modernization projects, but it does not mention climate change, climate hazards, or climate readiness as a planning theme. Emergency or maintenance-style references alone are not enough to count as climate risk mitigation under the rubric.","The plan makes only limited references to energy-related work. It mentions Prop 39 clean energy funding to reduce energy use at existing schools, which supports some energy efficiency attention, but it does not develop a broader energy resilience, electrification, or decarbonization strategy. There is no clear energy-use baseline, no Title 24 or Zero Net Energy reference, and no detailed discussion of backup power or climate-related outage planning.",111.0,52.0,
Mother Lode Union Elementary,data/pdfs/MotherLodeUnionElementary.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
Oakland Unified,data/pdfs/OaklandUnified.pdf,4.0,3.0,3.0,10.0,high,high,high,"The plan makes Living Schoolyards a districtwide strategy and links it to health, learning, heat mitigation, and stormwater management. It includes concrete campus-greening actions such as tree canopy, gardens, outdoor classrooms, nature play, permeable/blue-green infrastructure, and reducing paved surfaces. This is well beyond a passing mention and fits the highest rubric level.","The plan addresses multiple climate impacts in some detail, including higher temperatures, poor air quality, sea-level rise, flooding, drought, and wildfire risk, and it identifies vulnerable areas such as bay-side, estuary-adjacent, and East Bay Hills facilities. It also names mitigation strategies like heat abatement, passive cooling, air filtration, stormwater-focused living schoolyards, renewable energy/storage, and site retrofit/repurposing. Climate resilience is also treated as a district priority through repeated themes in the guiding principles, trends, and project sections, though not as comprehensively across all sections as a top-score plan.","The plan includes specific energy and resilience strategies, including solar, energy storage, passive cooling, air filtration, and smart monitoring, and it allocates $110 million for energy/resiliency/sustainability work. It also links these efforts to climate impacts and future grid changes, which is stronger than a passing mention. However, it does not present a comprehensive decarbonization or electrification plan, and the evidence for Title 24 or Zero Net Energy is not explicit.",427.0,214.0,
Oakland Unified,data/pdfs/OaklandUnified.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
Roseville City Elementary,data/pdfs/RosevilleCityElementary.pdf,2.0,1.0,2.0,5.0,medium,medium,high,"The plan mentions landscaping, trees, and school grounds in a limited way, but the discussion is mostly about security, maintenance, and creek protection rather than campus greening as a planning priority. It does not provide districtwide green-space data, shade coverage analysis, or a developed strategy for outdoor learning or climate-adapted outdoor design.","The plan makes a limited mention of climate-related concerns, mainly through a general statement that landscaping should reduce water use and wildfire impact. It does not provide a broader climate risk assessment or explain which facilities are vulnerable. Overall, this is awareness-level content rather than developed climate resilience planning.","The plan mentions energy-related projects such as HVAC replacement/upgrades, roofing work, and a campus lighting retrofit, but it does not develop energy efficiency as a major planning theme. It also lacks energy data, electrification, decarbonization, resilience strategies like solar-plus-storage, and any reference to Title 24 or Zero Net Energy goals. The strongest evidence is limited to maintenance and upgrade programming rather than a comprehensive energy strategy.",113.0,50.0,
Roseville City Elementary,data/pdfs/RosevilleCityElementary.pdf,,,,,,,,,,,,,[Errno 28] No space left on device
Santa Rosa Elementary,data/pdfs/SantaRosaElementary.pdf,3.0,1.0,1.0,5.0,high,medium,low,"The plan includes repeated, fairly detailed outdoor-space improvements such as outdoor learning areas, school gardens, shade structures, and revitalized landscaping/courtyards across multiple campuses. It also provides some site-specific strategies and examples of improved outdoor areas, but it does not present districtwide canopy or surface-type data, or a fully integrated greening/climate-resilience strategy.","The plan does not frame climate resilience as a district priority or provide a climate risk assessment, but it does acknowledge some climate-related site issues. Several projects address flooding and drainage, shade structures, natural turf/landscape changes, and outdoor learning areas, which suggests awareness of environmental conditions without a broader climate strategy.","The provided text focuses on space programming and some HVAC or ventilation needs, but it does not discuss energy efficiency, electrification, decarbonization, resilience planning, or energy data. There is no reference to Title 24, Zero Net Energy, solar, batteries, or other energy strategies required for a higher score.",539.0,270.0,
Tahoe-Truckee Unified,data/pdfs/Tahoe-TruckeeUnified.pdf,3.0,2.0,4.0,9.0,medium,medium,high,"The plan goes beyond a passing mention by identifying specific outdoor-space improvements such as shade structures, landscape/trees, outdoor learning environments, and synthetic turf or field upgrades at several sites. However, these references are site-specific rather than districtwide, and the text does not provide canopy, surface, or green-space data, so it fits sufficient detail rather than significant detail.","The plan addresses several climate-related hazards in some detail, especially snow, freeze/thaw, and flooding, and ties them to vulnerable site elements like roofs, entries, sidewalks, drainage, and snowmelt systems. It also names mitigation actions such as snowmelt systems, elevated platforms, replacing failing drainage and paving, improving low air intakes, and maintaining glycol systems for freeze protection. However, climate readiness is not clearly framed as a districtwide planning priority or recurring theme across the plan.","The plan treats sustainability, decarbonization, and resiliency as core priorities and lays out specific energy strategies across projects, including heat pumps, LED lighting, building envelope improvements, solar plus battery storage, and demand response controls. It also references Title 24 and whole-building energy modeling, and connects backup power and generators to weather and wildfire disruptions. The evidence goes beyond general goals by naming code-driven measures, energy management upgrades, and electrification-related replacements.",160.0,80.0,
Wheatland,data/pdfs/Wheatland.pdf,1.0,0.0,2.0,3.0,high,high,medium,"The provided text is a demographic and enrollment analysis and does not mention outdoor spaces, schoolyard greening, shade, landscaping, or outdoor learning. There is no site-level or districtwide discussion of green space, surface types, or climate-related outdoor design, so this fits minimal reference.","The provided chunks are demographic tables and chart pages only, with no mention of climate risks, climate readiness, or mitigation strategies. There is no evidence of any climate-related assessment or planning theme in these excerpts.","The section includes limited energy-related projects, especially a campus-wide HVAC upgrade assessment, which shows some attention to facility energy systems. However, there is no meaningful discussion of energy use, resilience, electrification, decarbonization, or state energy requirements, so it fits a limited description rather than a developed plan.",63.0,32.0,
